COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
MORRIS,TEXAS,20045,37849,45989,12869,4949
CHATTAHOOCHEE,GEORGIA,20042,48758,49808,12193,2613
MCDONOUGH,ILLINOIS,20042,36031,54058,32549,12620
CONWAY,ARKANSAS,20040,35225,46002,21235,8154
ARENAC,MICHIGAN,20039,38874,45479,15753,6363
DADE,MISSOURI,20034,35483,44175,7734,3175
CLARK,IDAHO,20032,33200,33897,751,304
SWITZERLAND,INDIANA,20019,44143,48689,10534,4099
RIO ARRIBA,NEW MEXICO,20014,40250,47363,40218,14783
ASHTABULA,OHIO,20011,40516,50218,100835,38952
MUHLENBERG,KENTUCKY,20008,38105,44874,31427,11869
PIERCE,GEORGIA,20001,39067,47747,18774,6970
GILES,TENNESSEE,19998,38495,47011,29214,11766
FORD,KANSAS,19994,51178,57380,34217,11103
MCLEAN,KENTUCKY,19984,38833,47436,9524,3770
THOMAS,GEORGIA,19983,34035,42835,44692,17377
CONCHO,TEXAS,19976,51411,58654,4070,857
MILLARD,UTAH,19972,49238,59266,12543,4101
CATAHOULA,LOUISIANA,19970,36165,44627,10332,3767
GRANT,NEBRASKA,19968,44167,45865,614,246
JOHNSTON,OKLAHOMA,19967,36192,39876,10982,4248
HOWARD,TEXAS,19965,45612,58661,35297,11010
WEBSTER,MISSOURI,19955,44596,50033,36274,12668
BRANCH,MICHIGAN,19947,41856,50701,44398,15862
MADISON,GEORGIA,19939,42549,50554,28044,9732
LASSEN,CALIFORNIA,19931,53107,65616,34018,9945
WILSON,KANSAS,19929,38917,48174,9269,3791
LAUREL,KENTUCKY,19923,36570,43075,59178,22931
POPE,ARKANSAS,19918,40453,47074,62248,22603
MONTGOMERY,ILLINOIS,19917,41952,54529,29878,11192
LOVE,OKLAHOMA,19910,43260,50761,9496,3378
ACADIA,LOUISIANA,19910,37587,46159,61847,22527
LEWIS,IDAHO,19910,36000,48894,3851,1660
MADISON,NORTH CAROLINA,19902,38598,49806,20842,8207
LOGAN,WEST VIRGINIA,19901,36999,47700,36442,14699
MARTINSVILLE,VIRGINIA,19900,28116,40875,13808,5995
KARNES,TEXAS,19899,42862,55603,14916,4497
DAVIESS,MISSOURI,19890,42393,51500,8347,3151
LITTLE RIVER,ARKANSAS,19880,39673,48406,12992,5315
OTERO,NEW MEXICO,19880,39263,46828,64767,23945
BOUNDARY,IDAHO,19877,37003,44390,10866,4144
WEBSTER,LOUISIANA,19871,35071,44436,41039,15980
MUSKOGEE,OKLAHOMA,19868,38502,48251,70657,26802
PULASKI,ILLINOIS,19867,33717,45764,6035,2419
POTTER,TEXAS,19861,37951,46243,121526,42751
MINERAL,MONTANA,19859,33033,45331,4219,1629
WAYNE,UTAH,19858,41458,48125,2760,970
BAKER,FLORIDA,19852,49236,58850,27069,8216
HENRY,VIRGINIA,19852,34984,43284,53451,22690
FRANKLIN,FLORIDA,19843,38328,48661,11554,4294
WASHINGTON,KENTUCKY,19837,40845,48578,11774,4480
RANDOLPH,ALABAMA,19830,35213,45076,22819,9013
GRANT,KENTUCKY,19829,46159,51866,24685,8334
HARDEMAN,TEXAS,19829,36377,45750,4087,1745
DESHA,ARKANSAS,19822,28680,39937,12774,5305
SULLIVAN,INDIANA,19821,43510,55748,21321,7764
CRAIG,OKLAHOMA,19820,39236,50231,14869,5603
GREENE,TENNESSEE,19801,35545,43400,68679,28677
LIVINGSTON,KENTUCKY,19795,40313,47075,9467,3569
HARALSON,GEORGIA,19789,39993,49077,28594,10806
LYON,KANSAS,19789,38981,51106,33624,13170
MINERAL,WEST VIRGINIA,19788,31163,48910,28015,11180
SPALDING,GEORGIA,19783,41534,50251,64011,22997
HOUGHTON,MICHIGAN,19783,35430,52409,36494,14029
GRAHAM,NORTH CAROLINA,19780,33903,39580,8762,3462
STARKE,INDIANA,19773,40126,46205,23267,8964
CHRISTIAN,KENTUCKY,19773,38904,45583,74169,25899
MOORE,TEXAS,19770,51181,53653,22029,6820
ASHLEY,ARKANSAS,19761,35683,45612,21645,8656
LENOIR,NORTH CAROLINA,19760,35770,45306,59277,23569
OKMULGEE,OKLAHOMA,19753,39156,48720,39747,15124
DALLAM,TEXAS,19752,40895,44301,6854,2375
COAL,OKLAHOMA,19752,34867,44888,5927,2328
BARREN,KENTUCKY,19745,38873,51272,42504,16584
MCMINN,TENNESSEE,19744,39410,48576,52338,20313
LIBERTY,TEXAS,19740,47228,54581,76013,24844
GRANT,WASHINGTON,19738,45949,52848,90202,30012
POWELL,MONTANA,19736,40802,49342,7052,2411
FORREST,MISSISSIPPI,19736,36726,46827,75991,27822
RUSSELL,VIRGINIA,19735,33872,43459,28646,11191
VERNON,MISSOURI,19734,38679,48014,20990,7999
YUKON-KOYUKUK CENSUS AREA,ALASKA,19729,34710,46875,5656,2056
SALUDA,SOUTH CAROLINA,19725,38514,44705,19895,7020
ALGER,MICHIGAN,19717,37586,46083,9497,3607
BENTON,MISSOURI,19717,32951,42896,19008,8225
PERRY,ILLINOIS,19716,42078,53689,22182,7982
PIKE,ALABAMA,19715,33090,46574,32977,12959
EMPORIA,VIRGINIA,19710,32155,41429,5773,2488
PETTIS,MISSOURI,19709,38580,49064,42146,16212
CASTRO,TEXAS,19708,36402,40595,8046,2588
LINCOLN,COLORADO,19703,41910,51875,5442,1845
BURKE,NORTH CAROLINA,19701,37263,49127,90591,34664
AUDRAIN,MISSOURI,19687,43013,53564,25584,9327
RUSSELL,ALABAMA,19678,36143,42730,55544,21142
MILLER,GEORGIA,19674,32260,41058,6054,2458
CALDWELL,TEXAS,19673,44152,51289,38465,11593
CRITTENDEN,ARKANSAS,19665,37751,48372,50447,18309
MONTMORENCY,MICHIGAN,19661,35261,42632,9598,4128
GREENE,ARKANSAS,19652,38413,48011,42580,16603
MONROE,TENNESSEE,19643,37595,44907,44857,17523
APPLING,GEORGIA,19643,36786,44610,18354,6934
OGEMAW,MICHIGAN,19634,34619,42137,21537,8998
HARDIN,OHIO,19626,40415,52144,31886,11504
SWAIN,NORTH CAROLINA,19626,36094,51589,14017,5368
DANVILLE,VIRGINIA,19626,30786,40768,42996,18659
VALENCIA,NEW MEXICO,19623,42506,51686,76461,26894
TYLER,TEXAS,19612,39940,45162,21619,8224
LARUE,KENTUCKY,19611,39753,50559,14149,5221
JEFFERSON,IDAHO,19598,52023,56195,26389,8058
MINIDOKA,IDAHO,19597,43266,49733,20104,6994
RANDOLPH,WEST VIRGINIA,19595,37276,48547,29399,11163
FRANKLIN,VIRGINIA,19588,31928,43780,8539,3551
MARSHALL,OKLAHOMA,19583,37319,47769,15860,5970
CHEROKEE,KANSAS,19580,39746,51748,21361,7936
MARION,ALABAMA,19576,32888,41733,30615,12700
LINCOLN,MISSISSIPPI,19566,36498,41572,34870,13045
DO¤A ANA,NEW MEXICO,19565,37933,44518,211175,73797
LACLEDE,MISSOURI,19553,39013,43826,35535,13912
RUTHERFORD,NORTH CAROLINA,19551,36334,42636,67403,27214
WEAKLEY,TENNESSEE,19547,35273,50628,34779,13797
WARREN,TENNESSEE,19531,34641,43922,39861,15366
GRUNDY,MISSOURI,19527,37964,47000,10282,4148
JONES,MISSISSIPPI,19519,38074,43888,68174,24677
MAHNOMEN,MINNESOTA,19517,40282,47781,5475,2058
POLK,MISSOURI,19511,39512,49245,31088,11937
ALLEGHANY,NORTH CAROLINA,19510,35170,40767,11046,4793
FRANKLIN,WASHINGTON,19503,55177,57710,81835,23445
UPSHUR,WEST VIRGINIA,19498,39381,49740,24371,9011
POLK,TEXAS,19498,37855,45690,45620,16980
WHITFIELD,GEORGIA,19497,40471,45728,102556,34450
WAYNE,WEST VIRGINIA,19497,36964,46749,42007,16555
CHAVES,NEW MEXICO,19492,39131,48169,65627,23499
BARRY,MISSOURI,19489,38710,47663,35614,13464
ALAMOSA,COLORADO,19487,34520,49889,15933,5891
CHARITON,MISSOURI,19481,39385,51356,7730,2958
EDMONSON,KENTUCKY,19481,37646,47637,12148,4766
SAMPSON,NORTH CAROLINA,19479,36496,43557,63687,23336
CRAWFORD,ARKANSAS,19477,39479,46113,61796,23368
FREMONT,IDAHO,19475,44520,51964,13088,4549
BOLLINGER,MISSOURI,19470,37716,45273,12408,4758
HARRISON,MISSOURI,19468,37739,44691,8871,3515
UNION,KENTUCKY,19464,39125,45143,15138,5586
ST. HELENA,LOUISIANA,19457,33143,40590,11062,4130
MONITEAU,MISSOURI,19451,47118,59253,15657,5464
VAN BUREN,TENNESSEE,19450,33547,41019,5562,2097
JOHNSON,KENTUCKY,19445,34090,41981,23377,9154
SIMPSON,KENTUCKY,19441,39546,47303,17443,6737
COLUMBIA,ARKANSAS,19439,35128,47472,24512,9449
SCIOTO,OHIO,19437,35379,49280,78952,29452
JOHNSON,NEBRASKA,19435,42364,53932,5182,1926
YAKIMA,WASHINGTON,19433,43506,48946,244654,79679
PEACH,GEORGIA,19431,39844,52500,27481,9525
CARROLL,KENTUCKY,19429,40160,46281,10902,4269
BEAVER,UTAH,19415,46660,56184,6529,2112
UNION,LOUISIANA,19412,35828,48125,22576,8532
TREUTLEN,GEORGIA,19410,37894,46282,6817,2515
TALLADEGA,ALABAMA,19410,35439,43074,81845,31486
BROOKS,GEORGIA,19409,34419,46973,15885,6573
JACKSON,OHIO,19405,36356,44755,33034,13288
MEIGS,TENNESSEE,19403,35150,47672,11706,4776
PUTNAM,MISSOURI,19397,36713,44309,4944,2230
KNOX,TEXAS,19396,34295,45208,3731,1557
ST. LANDRY,LOUISIANA,19387,35503,45574,83534,30935
BRADLEY,ARKANSAS,19386,30409,39659,11418,4789
MILLER,MISSOURI,19385,35507,44911,24863,10034
CARROLL,VIRGINIA,19385,32853,43349,29979,12572
PERRY,OHIO,19372,41446,48828,36051,13793
JOHNSON,ARKANSAS,19366,31003,37119,25655,10046
CORYELL,TEXAS,19357,49819,56459,75966,20416
LAGRANGE,INDIANA,19356,47617,51922,37463,11833
TITUS,TEXAS,19356,42939,50325,32360,10725
JEFFERSON,ARKANSAS,19353,37140,48562,75782,28367
LIMESTONE,TEXAS,19352,38823,49121,23417,7929
PIKE,KENTUCKY,19351,32961,42210,64473,26362
HIGHLAND,OHIO,19348,39091,46643,43395,16918
BOURBON,KANSAS,19340,39591,50231,15004,5636
NOTTOWAY,VIRGINIA,19337,36607,52837,15862,5673
MECOSTA,MICHIGAN,19336,39470,50330,43007,15536
HAMPTON,SOUTH CAROLINA,19332,34233,42588,20840,7470
SHELBY,MISSOURI,19331,35938,48274,6274,2597
FULTON,ARKANSAS,19326,35522,41720,12266,5140
LEWIS,MISSOURI,19317,42071,49043,10193,3936
COLUMBIA,FLORIDA,19306,38070,45003,67568,23604
PARMER,TEXAS,19304,44943,47096,10159,3215
FLEMING,KENTUCKY,19304,32495,45490,14435,5539
BEDFORD,TENNESSEE,19303,40759,47774,45339,16402
CLARKE,GEORGIA,19295,33060,50744,118864,41358
HICKMAN,KENTUCKY,19292,34029,46549,4834,1983
CHAMBERS,ALABAMA,19291,32402,41040,34145,13722
HOT SPRING,ARKANSAS,19286,41193,49541,33182,12231
SULLIVAN,MISSOURI,19279,36676,44783,6611,2640
COLUMBUS,NORTH CAROLINA,19275,35761,45865,57761,21758
UNION,MISSISSIPPI,19273,38373,44772,27338,10322
COMANCHE,TEXAS,19268,36020,45503,13829,5162
ADAIR,MISSOURI,19258,34733,54609,25573,9648
NOWATA,OKLAHOMA,19256,39430,48694,10580,4050
BUTLER,MISSOURI,19246,34969,43135,42946,17085
YUBA,CALIFORNIA,19244,44902,50648,72574,24300
CHOWAN,NORTH CAROLINA,19240,34420,43512,14782,5945
JAY,INDIANA,19236,40235,47376,21333,8179
CALDWELL,NORTH CAROLINA,19228,34357,46628,82407,31417
JIM HOGG,TEXAS,19212,36121,42775,5271,1805
CARTER,KENTUCKY,19204,36406,44210,27493,10319
JACKSON,LOUISIANA,19188,37388,45490,16217,6090
SANDERS,MONTANA,19188,32881,39650,11400,5149
GORDON,GEORGIA,19177,40926,48810,55409,19066
CAMP,TEXAS,19176,37079,45781,12415,4475
IDAHO,IDAHO,19168,37349,44962,16269,6534
PAYETTE,IDAHO,19165,43649,51998,22629,8056
FANNIN,GEORGIA,19164,34239,40855,23614,9940
BLADEN,NORTH CAROLINA,19154,30164,43210,34969,14256
LAURENS,SOUTH CAROLINA,19153,37383,44778,66457,25184
ALCORN,MISSISSIPPI,19145,33600,43320,37159,14679
LOGAN,KENTUCKY,19143,36590,47378,26822,10912
BLAINE,NEBRASKA,19141,42917,45625,586,249
LAWRENCE,TENNESSEE,19136,37368,47649,41927,15862
FRANKLIN,ARKANSAS,19135,36766,43053,18063,6769
POLK,ARKANSAS,19116,32835,38275,20540,8069
SEVIER,UTAH,19115,46229,53997,20798,7146
GRAYSON,KENTUCKY,19115,32399,41216,25833,9897
CLEBURNE,ALABAMA,19108,38019,46069,14945,5601
WISE,VIRGINIA,19107,36218,46628,41154,15406
IRON,MISSOURI,19101,36387,44069,10505,4126
MCINTOSH,OKLAHOMA,19100,36096,44470,20358,8092
HOUSTON,TEXAS,19090,33119,46557,23365,7889
WOODRUFF,ARKANSAS,19087,28259,36902,7180,3070
ALLEN,KENTUCKY,19086,40008,49378,20123,8061
WEBSTER,GEORGIA,19082,35718,51458,2769,1129
OTERO,COLORADO,19078,33848,41943,18817,7427
DEL NORTE,CALIFORNIA,19072,37909,51470,28357,9593
ISABELLA,MICHIGAN,19061,36372,51563,70400,24817
LAWRENCE,MISSOURI,19060,39334,47950,38488,14817
WARREN,NORTH CAROLINA,19052,34285,44587,20792,7731
LOGAN,ARKANSAS,19046,34996,46489,22221,8233
JEFFERSON,OKLAHOMA,19042,34701,40847,6457,2456
SCHLEY,GEORGIA,19037,38425,52391,5017,1829
UNION,SOUTH CAROLINA,19037,32556,41390,28594,11854
HARDY,WEST VIRGINIA,19032,32723,43097,13922,5020
CHARLES MIX,SOUTH DAKOTA,19030,40102,51780,9176,3191
WILKES,NORTH CAROLINA,19029,33159,42083,69184,27512
LAMAR,ALABAMA,19026,36028,42470,14396,6084
MONTGOMERY,ARKANSAS,19021,31345,39469,9387,3873
GALLATIN,KENTUCKY,19020,43793,48984,8525,2995
GRANT,LOUISIANA,19018,39654,47832,22113,7340
CARTER,TENNESSEE,19018,31842,41010,57438,24079
SEWARD,KANSAS,19015,50185,52529,23146,7429
RED RIVER,TEXAS,19014,31712,42371,12709,5052
OSCEOLA,FLORIDA,19007,43891,47839,279837,90413
SALINE,MISSOURI,19006,39519,46731,23324,8764
OHIO,KENTUCKY,19005,40830,44200,23955,8715
HALL,TEXAS,19004,33006,45593,3310,1177
NOLAN,TEXAS,19002,36806,46282,15087,5527
EVANS,GEORGIA,18998,36788,46369,10902,4067
WINSTON,ALABAMA,18995,32900,41113,24342,9489
OCEANA,MICHIGAN,18986,40023,47419,26456,9537
CLARKE,ALABAMA,18979,29357,45518,25573,9631
OUACHITA,ARKANSAS,18975,32015,42354,25651,10733
WAYNE,MISSOURI,18970,33159,39465,13437,5589
MONTCALM,MICHIGAN,18969,40451,47435,63234,23400
COLEMAN,TEXAS,18967,31373,37887,8744,3478
HEARD,GEORGIA,18964,39909,49381,11708,4321
CROSBY,TEXAS,18959,38187,42379,6056,2164
BIENVILLE,LOUISIANA,18958,31543,42271,14229,5668
WYANDOTTE,KANSAS,18957,39402,47025,158348,57291
FREMONT,COLORADO,18954,39943,48623,46850,16938
RHEA,TENNESSEE,18952,36741,46526,32080,12096
PROWERS,COLORADO,18941,34391,44481,12473,4935
PETERSBURG,VIRGINIA,18936,34424,40559,32326,12456
SCOTT,ARKANSAS,18934,37448,42333,11111,4324
TIFT,GEORGIA,18933,34591,41712,40537,13691
MCDOWELL,NORTH CAROLINA,18932,35297,45874,44963,17252
WAYNE,MISSISSIPPI,18928,29925,38502,20675,8105
ONEIDA,IDAHO,18920,40842,46802,4257,1579
KLEBERG,TEXAS,18918,40566,48275,32052,11241
HABERSHAM,GEORGIA,18910,39306,48610,43181,14805
MISSISSIPPI,ARKANSAS,18905,36428,42286,45912,17058
BAMBERG,SOUTH CAROLINA,18902,31483,43317,15814,5883
LOWNDES,GEORGIA,18897,37365,49499,111334,39722
HASKELL,OKLAHOMA,18896,35334,46474,12849,4713
FRANKLIN,ALABAMA,18888,36415,46536,31666,12437
BINGHAM,IDAHO,18872,47941,54323,45485,14650
RANDOLPH,ARKANSAS,18871,34418,45492,17896,7244
MARION,KENTUCKY,18865,38719,47360,19943,7368
MONTGOMERY,NORTH CAROLINA,18865,31830,43038,27707,10610
NEWTON,MISSISSIPPI,18864,39190,44720,21645,7931
BARNWELL,SOUTH CAROLINA,18862,35231,43818,22399,8416
PATRICK,VIRGINIA,18860,34864,42547,18445,7846
ALLEN,LOUISIANA,18857,38429,48306,25674,8099
NOBLE,OHIO,18853,38290,43146,14639,4883
DECATUR,IOWA,18845,36326,46275,8308,3106
WARE,GEORGIA,18842,34572,46455,36008,13460
YUMA,ARIZONA,18840,41595,44302,199026,70122
GRATIOT,MICHIGAN,18836,40359,50893,42148,14787
ELBERT,GEORGIA,18835,35817,41387,19907,7635
MOTLEY,TEXAS,18828,35845,40000,1182,433
MERIWETHER,GEORGIA,18821,37333,43597,21695,8135
BRISTOL,VIRGINIA,18820,32221,41025,17713,7674
CHESTER,TENNESSEE,18817,41875,52983,17151,5936
MEIGS,OHIO,18816,35469,44783,23659,9560
HALE,ALABAMA,18812,30051,38048,15594,5969
CHEROKEE,TEXAS,18801,38378,46797,50865,17422
LAMAR,GEORGIA,18800,41016,49741,18139,6393
TAYLOR,KENTUCKY,18790,36384,46250,24585,9708
MARTIN,NORTH CAROLINA,18783,35111,44633,24147,9444
VAN BUREN,ARKANSAS,18782,32517,42607,17147,7063
WASHINGTON,NORTH CAROLINA,18779,34936,43636,12958,5056
COLLETON,SOUTH CAROLINA,18769,33233,41716,38453,14905
LUCE,MICHIGAN,18768,39469,45950,6550,2427
JOHNSON,ILLINOIS,18763,40760,50796,12665,4362
CHARLOTTE,VIRGINIA,18762,33015,43384,12478,4751
SABINE,TEXAS,18762,32963,37827,10604,4161
HOKE,NORTH CAROLINA,18761,45489,53584,48842,16161
FAYETTE,INDIANA,18757,37391,46311,24112,9536
MADISON,ARKANSAS,18754,35771,43373,15671,6048
YALOBUSHA,MISSISSIPPI,18750,32930,46360,12554,4797
LAMB,TEXAS,18744,36727,45304,13921,4803
TRINITY,TEXAS,18730,34555,44343,14460,5091
WEBSTER,MISSISSIPPI,18728,33524,45647,10129,4084
WILKINSON,MISSISSIPPI,18717,33618,39966,9653,3496
TOOMBS,GEORGIA,18716,31189,46442,27229,10310
HAYWOOD,TENNESSEE,18714,34542,43094,18531,7099
HOWARD,ARKANSAS,18707,35879,40970,13748,5208
CROSS,ARKANSAS,18701,38085,48100,17760,6818
NEVADA,ARKANSAS,18695,33694,42500,8948,3622
SAN AUGUSTINE,TEXAS,18695,28390,41014,8855,3275
CLAY,ALABAMA,18694,34002,43598,13703,5649
NESHOBA,MISSISSIPPI,18693,37050,41449,29655,10829
FAYETTE,WEST VIRGINIA,18685,33771,42182,45889,17250
BAILEY,TEXAS,18676,46139,48681,7121,2358
TORRANCE,NEW MEXICO,18675,31161,45409,16185,5638
RICHLAND,LOUISIANA,18669,36835,45070,20816,7619
CROCKETT,TENNESSEE,18664,36066,43693,14576,5619
LAFAYETTE,FLORIDA,18660,39722,52627,8745,2710
PIKE,MISSOURI,18650,39850,52000,18579,6559
SCREVEN,GEORGIA,18640,34848,46591,14455,5165
BRAXTON,WEST VIRGINIA,18635,31848,43884,14524,5780
BULLOCK,ALABAMA,18628,32033,44933,10746,3741
LAURENS,GEORGIA,18625,34793,43935,48203,17632
BALDWIN,GEORGIA,18622,32751,48719,46018,16338
DOUGHERTY,GEORGIA,18619,31671,38145,94220,35661
FULTON,KENTUCKY,18602,33582,39274,6650,2744
BENTON,MISSISSIPPI,18597,31060,42436,8682,3195
COOK,GEORGIA,18592,34985,43780,17066,6308
BULLOCH,GEORGIA,18587,35840,52100,71190,25254
CLAIBORNE,TENNESSEE,18583,33229,42766,31915,12553
CHEROKEE,OKLAHOMA,18582,37260,49379,47488,16875
HARMON,OKLAHOMA,18582,26688,36597,2894,1106
STONE,MISSISSIPPI,18576,42963,50491,17854,5871
PONTOTOC,MISSISSIPPI,18576,39899,50403,30207,9937
ORANGE,INDIANA,18576,38826,46454,19829,7688
BACON,GEORGIA,18558,33757,48115,11159,4036
STEPHENS,GEORGIA,18557,37898,46972,25910,9227
WORTH,GEORGIA,18551,35792,44411,21670,7851
GULF,FLORIDA,18546,40455,44574,15793,5414
ST. FRANCOIS,MISSOURI,18544,37238,46537,65602,24654
DENT,MISSOURI,18544,36311,42356,15649,5858
PUSHMATAHA,OKLAHOMA,18542,29897,38834,11406,4900
HOUSTON,TENNESSEE,18539,35271,44637,8375,3423
CLAY,ARKANSAS,18509,31502,41121,15790,6814
BLAND,VIRGINIA,18501,42139,48906,6795,2480
WINSTON,MISSISSIPPI,18501,30821,40589,19052,7635
BETHEL CENSUS AREA,ALASKA,18497,51689,53224,17356,4358
ANDERSON,TEXAS,18495,40653,52077,58262,16378
FAYETTE,ALABAMA,18494,33838,44034,17110,6956
COOSA,ALABAMA,18493,37277,46777,11198,4506
TIPPAH,MISSISSIPPI,18493,34636,41358,22080,8472
UNION,NEW MEXICO,18472,38902,48350,4458,1606
LINCOLN,WEST VIRGINIA,18458,35487,42293,21660,8416
BENTON,TENNESSEE,18456,33033,39526,16398,6892
BUENA VISTA,VIRGINIA,18453,36591,49429,6699,2738
REYNOLDS,MISSOURI,18449,34496,39632,6661,2664
KNOTT,KENTUCKY,18448,33889,43684,16217,5892
GREENE,NORTH CAROLINA,18441,40853,50781,21382,7104
SUWANNEE,FLORIDA,18431,35698,43716,42865,15712
KINGS,CALIFORNIA,18429,48133,50489,151806,40785
MCNAIRY,TENNESSEE,18428,33452,41545,26066,9736
ATTALA,MISSISSIPPI,18422,31641,41356,19383,7185
CRAWFORD,MISSOURI,18415,35897,44985,24711,9485
HYDE,NORTH CAROLINA,18408,42279,42048,5771,2148
HIDALGO,NEW MEXICO,18392,34080,37432,4834,1837
JACKSON,TENNESSEE,18387,33386,42800,11527,4493
HICKMAN,TENNESSEE,18383,39581,47683,24428,8846
EL PASO,TEXAS,18379,40157,44619,813015,255573
WYOMING,WEST VIRGINIA,18377,34454,47602,23479,9101
PUTNAM,FLORIDA,18377,32497,40802,73683,28047
PIKE,ARKANSAS,18377,32206,37440,11250,4325
GOODING,IDAHO,18373,37050,45093,15278,5552
LOWNDES,ALABAMA,18368,26230,40783,11086,4212
OVERTON,TENNESSEE,18347,34604,43587,22109,8815
CHEROKEE,NORTH CAROLINA,18340,34432,43178,27243,10722
TISHOMINGO,MISSISSIPPI,18338,32592,40949,19582,7643
POLK,GEORGIA,18336,39208,48675,41308,14645
OTTAWA,OKLAHOMA,18331,36473,44106,32029,12134
CARROLL,TENNESSEE,18330,35049,45351,28525,11022
SEMINOLE,OKLAHOMA,18321,33819,42751,25443,9327
COPIAH,MISSISSIPPI,18318,35421,45769,29204,9897
SIMPSON,MISSISSIPPI,18314,38362,44651,27439,9786
LEVY,FLORIDA,18304,34348,41278,40289,15582
CLAY,MISSISSIPPI,18273,30764,39169,20539,7750
HUGHES,OKLAHOMA,18268,34619,44973,13838,4920
MENARD,TEXAS,18253,31215,41250,2213,871
CARTER,MISSOURI,18245,30962,40597,6260,2426
CHEROKEE,SOUTH CAROLINA,18240,34202,43439,55587,20762
ADAMS,OHIO,18235,35678,43771,28406,10816
FRANKLIN,GEORGIA,18234,34830,45934,21998,8618
PERRY,KENTUCKY,18224,33528,40814,28488,10801
DICKENSON,VIRGINIA,18215,33318,41314,15749,6352
IRWIN,GEORGIA,18207,40771,50125,9571,3277
WHITE,TENNESSEE,18205,34474,42357,25986,9729
PERSHING,NEVADA,18203,52101,56250,6752,2091
MARION,ARKANSAS,18188,34494,42333,16605,7036
CRISP,GEORGIA,18185,35240,42934,23521,8832
PIKE,MISSISSIPPI,18183,34841,41288,40269,14614
MERCED,CALIFORNIA,18177,42591,47456,258707,75409
BRONX,NEW YORK,18171,34388,38843,1397315,474842
MONROE,MISSISSIPPI,18167,36308,45361,36652,13960
BENSON,NORTH DAKOTA,18162,36491,40821,6721,2291
SCHUYLER,MISSOURI,18160,34688,45269,4397,1773
DALLAS,MISSOURI,18155,40120,44382,16733,6443
DEKALB,ALABAMA,18149,37851,45213,71076,24923
CLARE,MICHIGAN,18148,32668,40297,30823,13215
LE FLORE,OKLAHOMA,18141,36542,44408,50062,18412
PRAIRIE,ARKANSAS,18137,34855,43408,8573,3737
BUTLER,KENTUCKY,18136,35430,45314,12746,5124
ABBEVILLE,SOUTH CAROLINA,18134,35947,47211,25233,9809
SEQUOYAH,OKLAHOMA,18131,35742,42828,41834,15624
MARION,MISSISSIPPI,18126,29400,38941,26674,9985
DODGE,GEORGIA,18114,37292,50116,21502,8186
JUAB,UTAH,18108,55247,57207,10300,3016
ITAWAMBA,MISSISSIPPI,18106,36073,45142,23366,8859
SOCORRO,NEW MEXICO,18104,34036,44076,17756,5329
BRECKINRIDGE,KENTUCKY,18101,38907,46870,20059,7213
VINTON,OHIO,18101,36705,41674,13365,5191
OSCEOLA,MICHIGAN,18099,37788,45839,23404,8987
CHESTER,SOUTH CAROLINA,18098,33103,42089,32879,12368
RANDOLPH,GEORGIA,18094,30023,35914,7498,3020
NODAWAY,MISSOURI,18079,36641,56449,23347,8599
JASPER,MISSISSIPPI,18075,31170,37218,16827,7015
PANOLA,MISSISSIPPI,18073,35715,41849,34558,11928
CLARKE,MISSISSIPPI,18066,31362,41518,16614,6305
DECATUR,GEORGIA,18059,30619,42523,27676,10525
OSCODA,MICHIGAN,18057,33239,40517,8590,3781
CALHOUN,WEST VIRGINIA,18053,31679,41920,7603,3141
IZARD,ARKANSAS,18040,30661,39717,13560,5682
TILLMAN,OKLAHOMA,18035,36354,45487,7898,3013
EVANGELINE,LOUISIANA,18023,31832,41022,33793,11967
SAN SABA,TEXAS,18009,37743,45678,6050,2035
AVOYELLES,LOUISIANA,18006,33942,40311,41765,15332
HALE,TEXAS,18004,41191,45971,36150,11624
DUNKLIN,MISSOURI,17990,31304,38503,31916,12882
GLASCOCK,GEORGIA,17984,37760,49279,3094,1189
GREEN,KENTUCKY,17984,34406,44338,11252,4495
WEST CARROLL,LOUISIANA,17980,33848,44018,11540,4130
MARSHALL,MISSISSIPPI,17978,36022,41319,36823,13050
UPSON,GEORGIA,17978,35329,43590,26918,10341
CASWELL,NORTH CAROLINA,17975,35315,45925,23462,8813
CANDLER,GEORGIA,17974,35070,42466,11045,3861
GREER,OKLAHOMA,17969,39900,48694,6178,2246
LAWRENCE,KENTUCKY,17960,33525,42182,15877,5823
CLARK,ARKANSAS,17960,32721,48735,22912,8341
TWIGGS,GEORGIA,17952,31234,35901,8808,3056
CLAYTON,GEORGIA,17950,40606,45355,262455,86274
HALIFAX,NORTH CAROLINA,17937,32329,42607,54251,21550
WEBSTER,WEST VIRGINIA,17937,27645,34786,9073,3928
QUAY,NEW MEXICO,17936,30802,41304,8890,3476
MORGAN,MISSOURI,17935,34797,45048,20392,8164
GRAINGER,TENNESSEE,17933,32364,41071,22653,9003
REAL,TEXAS,17931,33885,38438,3348,1127
SAN MIGUEL,NEW MEXICO,17926,28275,40284,29093,11435
MCDUFFIE,GEORGIA,17922,37487,44510,21697,8143
NORTHAMPTON,NORTH CAROLINA,17919,31433,37249,21645,8604
VANCE,NORTH CAROLINA,17905,34987,41930,45120,16640
TULARE,CALIFORNIA,17894,42708,45500,446644,131642
